Method,Sparsity (%),Perplexity,BBH Causal Judgement,MMLU-Pro
Dense,0,15.87,0.5561497326203209,0.27435172872340424
TokenButler,12.20597461797297,15.90,0.5614973262032086,0.27534906914893614
TokenButler,31.01703217253089,15.99,0.5561497326203209,0.273686835106383
TokenButler,49.81945659965277,16.22,0.5668449197860963,0.273188164893617
TokenButler,68.27813405543566,16.99,0.5561497326203209,0.26338098404255317
Oracle,12.211913568899035,15.85,0.5614973262032086,0.27376994680851063
Oracle,31.03422559797764,15.76,0.5508021390374331,0.273686835106383
Oracle,49.854894541203976,15.66,0.5454545454545454,0.2716090425531915
Oracle,68.33293959498405,15.71,0.5187165775401069,0.2713597074468085
